maa,tuote,kuukausi,myynti
  Suomi ,  ART-0002 ,  helmikuu 2026 ,"  490,70 "
  Suomi ,  ART-0002 ,  maaliskuu 2026 ,"  484,59 "
  Suomi ,  ART-0002 ,  huhtikuu 2026 ,"  149,78 "
  Suomi ,  ART-0002 ,  toukokuu 2026 ,"  797,90 "
  Suomi ,  ART-0002 ,  kesäkuu 2026 ,"  294,95 "
  Suomi ,  ART-0004 ,  tammikuu 2026 ,"  693,62 "
  Suomi ,  ART-0004 ,  helmikuu 2026 ,"  102,40 "
  Suomi ,  ART-0004 ,  maaliskuu 2026 ,"  448,42 "
  Suomi ,  ART-0004 ,  huhtikuu 2026 ,"  366,68 "
  Suomi ,  ART-0004 ,  toukokuu 2026 ,"  87,94 "
  Suomi ,  ART-0004 ,  kesäkuu 2026 ,"  288,47 "
  Suomi ,  ART-0005 ,  tammikuu 2026 ,"  224,75 "
  Suomi ,  ART-0005 ,  helmikuu 2026 ,"  724,64 "
  Suomi ,  ART-0005 ,  maaliskuu 2026 ,"  333,15 "
  Suomi ,  ART-0005 ,  huhtikuu 2026 ,"  131,54 "
  Suomi ,  ART-0005 ,  toukokuu 2026 ,"  559,65 "
  Suomi ,  ART-0005 ,  kesäkuu 2026 ,"  818,52 "
  Ruotsi ,  ART-0001 ,  tammikuu 2026 ,"  250,76 "
  Ruotsi ,  ART-0001 ,  helmikuu 2026 ,"  818,59 "
  Ruotsi ,  ART-0001 ,  maaliskuu 2026 ,"  179,67 "
  Ruotsi ,  ART-0001 ,  huhtikuu 2026 ,"  818,89 "
  Ruotsi ,  ART-0001 ,  toukokuu 2026 ,"  339,29 "
  Ruotsi ,  ART-0001 ,  kesäkuu 2026 ,"  380,44 "
  Ruotsi ,  ART-0005 ,  helmikuu 2026 ,"  240,02 "
  Ruotsi ,  ART-0005 ,  maaliskuu 2026 ,"  71,02 "
  Ruotsi ,  ART-0005 ,  huhtikuu 2026 ,"  830,31 "
  Ruotsi ,  ART-0005 ,  toukokuu 2026 ,"  874,71 "
  Ruotsi ,  ART-0005 ,  kesäkuu 2026 ,"  233,43 "
