freight,amount,unit_price,quantity,article_sku,report_period
2.57,83.9,16.78,5,ART-0043,2025-01
17.11,515.24,11.71,44,ART-0044,2025-01
2.5,86.4,14.4,6,ART-0045,2025-01
10.64,305.89,23.53,13,ART-0046,2025-01
2.76,98.44,24.61,4,ART-0047,2025-01
9.63,276.83,14.57,19,ART-0048,2025-01
7.68,215.8,43.16,5,ART-0049,2025-01
3.31,131.04,32.76,4,ART-0050,2025-01
1.89,64.53,7.17,9,ART-0051,2025-01
3.85,106.2,21.24,5,ART-0052,2025-01
10.64,351.67,15.29,23,ART-0053,2025-01
3.23,127.52,15.94,8,ART-0054,2025-01
4.76,168.52,15.32,11,ART-0055,2025-01
17.78,592.2,28.2,21,ART-0056,2025-01
9.84,361.62,40.18,9,ART-0058,2025-01
3.07,92.79,10.31,9,ART-0059,2025-01
6.67,184.86,10.27,18,ART-0060,2025-01
3.12,115.92,19.32,6,ART-0061,2025-01
4.13,142.94,20.42,7,ART-0062,2025-01
5.39,157.0,15.7,10,ART-0063,2025-01
7.98,238.07,12.53,19,ART-0064,2025-01
10.67,325.5,32.55,10,ART-0065,2025-01
7.64,221.6,13.85,16,ART-0067,2025-01
24.7,803.99,73.09,11,ART-0068,2025-01
5.83,183.96,15.33,12,ART-0069,2025-01
8.27,267.42,44.57,6,ART-0070,2025-01
1.91,66.87,7.43,9,ART-0071,2025-01
10.02,305.5,23.5,13,ART-0072,2025-01
6.34,211.75,19.25,11,ART-0073,2025-01
5.94,207.2,41.44,5,ART-0075,2025-01
2.16,74.35,14.87,5,ART-0077,2025-01
2.91,84.36,14.06,6,ART-0079,2025-01
18.79,561.9,37.46,15,ART-0080,2025-01
2.66,86.16,14.36,6,ART-0081,2025-01
20.72,543.4,49.4,11,ART-0082,2025-01
8.57,272.7,18.18,15,ART-0083,2025-01
6.64,208.13,16.01,13,ART-0084,2025-01
55.58,1917.1,50.45,38,ART-0085,2025-01
17.19,570.86,24.82,23,ART-0086,2025-01
3.32,111.88,27.97,4,ART-0087,2025-01
10.0,503.76,20.99,24,ART-0088,2025-01
16.92,536.2,38.3,14,ART-0089,2025-01
11.38,429.66,20.46,21,ART-0091,2025-01
14.17,561.6,31.2,18,ART-0092,2025-01
3.3,96.95,13.85,7,ART-0093,2025-01
2.95,89.28,11.16,8,ART-0094,2025-01
7.06,244.8,13.6,18,ART-0095,2025-01
11.01,374.66,14.41,26,ART-0096,2025-01
13.9,673.86,30.63,22,ART-0097,2025-01
3.51,120.5,24.1,5,ART-0098,2025-01
2.83,121.35,24.27,5,ART-0099,2025-01
2.97,88.38,9.82,9,ART-0100,2025-01
14.54,502.26,22.83,22,ART-0101,2025-01
8.04,248.27,22.57,11,ART-0102,2025-01
9.75,248.22,13.79,18,ART-0103,2025-01
9.71,324.75,21.65,15,ART-0104,2025-01
37.95,1065.6,35.52,30,ART-0106,2025-01
17.62,565.42,33.26,17,ART-0107,2025-01
3.97,133.63,19.09,7,ART-0108,2025-01
2.06,80.72,20.18,4,ART-0109,2025-01
7.22,253.22,11.51,22,ART-0110,2025-01
6.53,248.49,27.61,9,ART-0111,2025-01
2.66,88.75,17.75,5,ART-0112,2025-01
8.62,323.38,17.02,19,ART-0113,2025-01
4.71,134.05,19.15,7,ART-0115,2025-01
24.93,843.92,38.36,22,ART-0117,2025-01
8.53,210.66,35.11,6,ART-0119,2025-01
5.7,151.06,11.62,13,ART-0121,2025-01
6.33,230.3,23.03,10,ART-0122,2025-01
2.92,89.6,17.92,5,ART-0123,2025-01
4.18,168.75,11.25,15,ART-0124,2025-01
6.2,174.84,14.57,12,ART-0125,2025-01
9.02,299.03,17.59,17,ART-0126,2025-01
5.98,207.79,18.89,11,ART-0127,2025-01
4.3,110.22,10.02,11,ART-0128,2025-01
6.25,214.98,35.83,6,ART-0129,2025-01
12.91,407.36,50.92,8,ART-0130,2025-01
5.27,203.76,33.96,6,ART-0131,2025-01
1.77,52.68,13.17,4,ART-0133,2025-01
5.49,154.98,17.22,9,ART-0134,2025-01
4.91,191.4,12.76,15,ART-0135,2025-01
7.71,211.3,21.13,10,ART-0137,2025-01
5.76,227.22,16.23,14,ART-0139,2025-01
2.82,95.75,19.15,5,ART-0140,2025-01
2.38,75.12,18.78,4,ART-0141,2025-01
6.24,188.7,18.87,10,ART-0143,2025-01
1.82,56.85,18.95,3,ART-0144,2025-01
1.15,46.24,11.56,4,ART-0146,2025-01
10.42,431.63,25.39,17,ART-0147,2025-01
32.36,1070.46,28.17,38,ART-0148,2025-01
2.97,85.45,17.09,5,ART-0149,2025-01
