freight,amount,unit_price,quantity,article_sku,report_period
11.29,346.71,49.53,7,ART-0130,2025-03
8.05,239.26,34.18,7,ART-0131,2025-03
6.85,244.88,30.61,8,ART-0132,2025-03
3.03,105.68,13.21,8,ART-0133,2025-03
2.33,85.4,17.08,5,ART-0134,2025-03
6.5,249.28,13.12,19,ART-0135,2025-03
16.13,438.84,24.38,18,ART-0136,2025-03
3.41,104.9,20.98,5,ART-0137,2025-03
5.5,177.21,16.11,11,ART-0138,2025-03
9.92,292.86,16.27,18,ART-0139,2025-03
2.1,76.16,19.04,4,ART-0140,2025-03
3.03,92.75,18.55,5,ART-0141,2025-03
4.32,153.52,19.19,8,ART-0143,2025-03
6.01,174.15,19.35,9,ART-0144,2025-03
13.07,383.04,23.94,16,ART-0145,2025-03
9.67,289.08,26.28,11,ART-0147,2025-03
23.05,798.0,28.5,28,ART-0148,2025-03
6.65,199.68,16.64,12,ART-0149,2025-03
