invoice date,desc,pcs,unit cost,gross,freight
2025-06,ART-0090,11,22.62,248.82,7.1
2025-06,ART-0091,18,20.4,367.2,11.71
2025-06,ART-0092,16,30.88,494.08,13.44
2025-06,ART-0093,8,13.84,110.72,3.39
2025-06,ART-0094,6,11.28,67.68,2.59
2025-06,ART-0095,14,13.79,193.06,6.78
2025-06,ART-0096,15,14.35,215.25,7.21
2025-06,ART-0097,27,30.81,831.87,27.64
2025-06,ART-0098,5,24.36,121.8,3.01
2025-06,ART-0099,3,24.41,73.23,2.54
2025-06,ART-0100,10,9.65,96.5,2.71
2025-06,ART-0101,23,22.49,517.27,12.3
2025-06,ART-0102,13,22.4,291.2,8.62
2025-06,ART-0105,7,7.17,50.19,1.66
2025-06,ART-0106,38,35.72,1357.36,47.6
2025-06,ART-0107,20,33.19,663.8,20.42
2025-06,ART-0109,4,20.15,80.6,2.3
2025-06,ART-0110,28,11.76,329.28,9.04
2025-06,ART-0111,14,27.97,391.58,12.17
2025-06,ART-0112,6,18.0,108.0,2.76
2025-06,ART-0113,19,16.83,319.77,11.72
2025-06,ART-0114,9,25.56,230.04,6.02
2025-06,ART-0115,6,18.91,113.46,4.27
2025-06,ART-0116,13,12.86,167.18,5.09
2025-06,ART-0117,31,37.59,1165.29,38.6
2025-06,ART-0118,9,15.38,138.42,5.14
2025-06,ART-0119,6,34.81,208.86,6.09
2025-06,ART-0120,21,10.62,223.02,7.69
2025-06,ART-0121,15,11.61,174.15,6.01
2025-06,ART-0122,7,22.78,159.46,5.49
2025-06,ART-0123,5,18.28,91.4,2.87
2025-06,ART-0124,25,11.58,289.5,9.43
2025-06,ART-0125,19,14.48,275.12,9.17
2025-06,ART-0126,8,17.01,136.08,2.93
2025-06,ART-0129,10,36.67,366.7,11.72
2025-06,ART-0130,7,49.43,346.01,11.53
2025-06,ART-0131,5,34.62,173.1,4.2
2025-06,ART-0133,5,13.2,66.0,2.31
2025-06,ART-0134,9,17.26,155.34,4.77
2025-06,ART-0135,19,13.1,248.9,7.65
2025-06,ART-0136,28,23.86,668.08,18.15
2025-06,ART-0137,11,21.05,231.55,6.6
2025-06,ART-0138,9,15.91,143.19,4.23
2025-06,ART-0139,12,16.25,195.0,5.83
2025-06,ART-0140,3,19.27,57.81,2.09
2025-06,ART-0141,4,18.77,75.08,2.42
2025-06,ART-0142,3,23.34,70.02,2.43
2025-06,ART-0143,8,18.96,151.68,3.97
2025-06,ART-0144,12,19.1,229.2,6.09
2025-06,ART-0145,19,24.43,464.17,14.86
2025-06,ART-0146,7,11.36,79.52,2.01
2025-06,ART-0147,9,25.59,230.31,7.8
2025-06,ART-0148,27,28.04,757.08,25.45
2025-06,ART-0149,9,16.72,150.48,4.25
