invoice date,desc,pcs,unit cost,gross,freight
2025-10,ART-0108,5,19.15,95.75,3.28
2025-10,ART-0109,7,19.93,139.51,4.08
2025-10,ART-0110,20,11.52,230.4,8.03
2025-10,ART-0111,12,27.1,325.2,9.24
2025-10,ART-0113,26,17.09,444.34,12.41
2025-10,ART-0114,9,25.56,230.04,8.67
2025-10,ART-0115,11,18.67,205.37,5.98
2025-10,ART-0116,9,13.3,119.7,4.36
2025-10,ART-0117,21,37.19,780.99,27.99
2025-10,ART-0118,8,15.63,125.04,3.68
2025-10,ART-0119,6,34.72,208.32,7.35
2025-10,ART-0120,20,10.63,212.6,4.49
2025-10,ART-0122,14,23.13,323.82,10.62
2025-10,ART-0123,11,18.03,198.33,7.17
2025-10,ART-0124,22,11.51,253.22,8.88
2025-10,ART-0126,15,17.48,262.2,7.18
2025-10,ART-0127,12,18.76,225.12,6.45
2025-10,ART-0129,9,35.53,319.77,9.07
2025-10,ART-0130,11,49.81,547.91,18.09
2025-10,ART-0131,5,34.9,174.5,6.34
2025-10,ART-0132,7,30.62,214.34,6.33
2025-10,ART-0133,5,13.13,65.65,1.76
2025-10,ART-0134,9,17.34,156.06,5.27
2025-10,ART-0135,24,12.95,310.8,9.62
2025-10,ART-0136,15,24.03,360.45,9.32
2025-10,ART-0137,10,20.75,207.5,7.41
2025-10,ART-0140,3,19.36,58.08,1.76
2025-10,ART-0141,4,18.65,74.6,2.46
2025-10,ART-0142,7,23.26,162.82,5.2
2025-10,ART-0143,9,18.61,167.49,4.26
2025-10,ART-0144,6,19.13,114.78,3.95
2025-10,ART-0145,19,23.94,454.86,13.17
2025-10,ART-0147,8,25.7,205.6,7.41
2025-10,ART-0148,47,27.76,1304.72,49.9
2025-10,ART-0149,7,16.54,115.78,4.27
