freight,amount,unit_price,quantity,article_sku,report_period
2.43,71.1,7.11,10,ART-0051,2025-06
2.96,84.0,21.0,4,ART-0052,2025-06
5.17,170.5,15.5,11,ART-0055,2025-06
19.9,554.04,29.16,19,ART-0056,2025-06
23.61,918.08,24.16,38,ART-0057,2025-06
22.23,633.12,39.57,16,ART-0058,2025-06
5.51,154.5,10.3,15,ART-0059,2025-06
13.67,379.62,10.26,37,ART-0060,2025-06
2.83,94.95,18.99,5,ART-0061,2025-06
4.61,142.87,20.41,7,ART-0062,2025-06
4.91,155.9,15.59,10,ART-0063,2025-06
5.43,150.48,12.54,12,ART-0064,2025-06
21.19,531.52,33.22,16,ART-0065,2025-06
7.85,223.74,37.29,6,ART-0066,2025-06
5.77,217.75,43.55,5,ART-0070,2025-06
3.22,111.75,7.45,15,ART-0071,2025-06
7.97,255.86,23.26,11,ART-0072,2025-06
4.9,193.4,19.34,10,ART-0073,2025-06
3.83,132.3,22.05,6,ART-0074,2025-06
6.87,244.02,40.67,6,ART-0075,2025-06
3.59,119.16,13.24,9,ART-0076,2025-06
3.11,87.24,14.54,6,ART-0077,2025-06
11.02,354.96,19.72,18,ART-0078,2025-06
2.05,68.6,13.72,5,ART-0079,2025-06
14.37,560.25,37.35,15,ART-0080,2025-06
14.48,545.1,18.17,30,ART-0083,2025-06
5.93,198.77,15.29,13,ART-0084,2025-06
39.11,1120.24,50.92,22,ART-0085,2025-06
13.06,374.4,24.96,15,ART-0086,2025-06
11.76,432.2,21.61,20,ART-0088,2025-06
12.99,433.29,39.39,11,ART-0089,2025-06
7.1,248.82,22.62,11,ART-0090,2025-06
11.71,367.2,20.4,18,ART-0091,2025-06
13.44,494.08,30.88,16,ART-0092,2025-06
3.39,110.72,13.84,8,ART-0093,2025-06
2.59,67.68,11.28,6,ART-0094,2025-06
6.78,193.06,13.79,14,ART-0095,2025-06
7.21,215.25,14.35,15,ART-0096,2025-06
27.64,831.87,30.81,27,ART-0097,2025-06
3.01,121.8,24.36,5,ART-0098,2025-06
2.54,73.23,24.41,3,ART-0099,2025-06
2.71,96.5,9.65,10,ART-0100,2025-06
12.3,517.27,22.49,23,ART-0101,2025-06
8.62,291.2,22.4,13,ART-0102,2025-06
1.66,50.19,7.17,7,ART-0105,2025-06
47.6,1357.36,35.72,38,ART-0106,2025-06
20.42,663.8,33.19,20,ART-0107,2025-06
2.3,80.6,20.15,4,ART-0109,2025-06
9.04,329.28,11.76,28,ART-0110,2025-06
12.17,391.58,27.97,14,ART-0111,2025-06
2.76,108.0,18.0,6,ART-0112,2025-06
11.72,319.77,16.83,19,ART-0113,2025-06
6.02,230.04,25.56,9,ART-0114,2025-06
4.27,113.46,18.91,6,ART-0115,2025-06
5.09,167.18,12.86,13,ART-0116,2025-06
38.6,1165.29,37.59,31,ART-0117,2025-06
5.14,138.42,15.38,9,ART-0118,2025-06
6.09,208.86,34.81,6,ART-0119,2025-06
7.69,223.02,10.62,21,ART-0120,2025-06
6.01,174.15,11.61,15,ART-0121,2025-06
5.49,159.46,22.78,7,ART-0122,2025-06
2.87,91.4,18.28,5,ART-0123,2025-06
9.43,289.5,11.58,25,ART-0124,2025-06
9.17,275.12,14.48,19,ART-0125,2025-06
2.93,136.08,17.01,8,ART-0126,2025-06
11.72,366.7,36.67,10,ART-0129,2025-06
11.53,346.01,49.43,7,ART-0130,2025-06
4.2,173.1,34.62,5,ART-0131,2025-06
2.31,66.0,13.2,5,ART-0133,2025-06
4.77,155.34,17.26,9,ART-0134,2025-06
7.65,248.9,13.1,19,ART-0135,2025-06
18.15,668.08,23.86,28,ART-0136,2025-06
6.6,231.55,21.05,11,ART-0137,2025-06
4.23,143.19,15.91,9,ART-0138,2025-06
5.83,195.0,16.25,12,ART-0139,2025-06
2.09,57.81,19.27,3,ART-0140,2025-06
2.42,75.08,18.77,4,ART-0141,2025-06
2.43,70.02,23.34,3,ART-0142,2025-06
3.97,151.68,18.96,8,ART-0143,2025-06
6.09,229.2,19.1,12,ART-0144,2025-06
14.86,464.17,24.43,19,ART-0145,2025-06
2.01,79.52,11.36,7,ART-0146,2025-06
7.8,230.31,25.59,9,ART-0147,2025-06
25.45,757.08,28.04,27,ART-0148,2025-06
4.25,150.48,16.72,9,ART-0149,2025-06
