invoice date,desc,pcs,unit cost,gross,freight
2025-05,ART-0054,12,15.99,191.88,4.74
2025-05,ART-0056,19,29.09,552.71,15.73
2025-05,ART-0057,26,24.21,629.46,19.63
2025-05,ART-0058,10,40.26,402.6,15.77
2025-05,ART-0059,11,10.46,115.06,3.74
2025-05,ART-0060,28,10.31,288.68,7.18
2025-05,ART-0061,8,19.34,154.72,4.47
2025-05,ART-0062,9,20.59,185.31,5.7
2025-05,ART-0063,11,15.54,170.94,5.5
2025-05,ART-0064,12,12.56,150.72,4.83
2025-05,ART-0065,8,32.29,258.32,8.4
2025-05,ART-0066,5,38.04,190.2,5.9
2025-05,ART-0067,17,13.69,232.73,6.85
2025-05,ART-0068,18,73.64,1325.52,43.02
2025-05,ART-0069,14,15.16,212.24,5.53
2025-05,ART-0071,12,7.4,88.8,2.75
2025-05,ART-0072,10,23.78,237.8,6.37
2025-05,ART-0073,9,19.65,176.85,4.44
2025-05,ART-0075,6,41.24,247.44,7.36
2025-05,ART-0076,8,13.07,104.56,3.0
2025-05,ART-0077,4,14.6,58.4,1.87
2025-05,ART-0078,13,19.84,257.92,8.13
2025-05,ART-0079,4,13.84,55.36,1.64
2025-05,ART-0080,12,37.3,447.6,13.32
2025-05,ART-0081,4,14.5,58.0,1.44
2025-05,ART-0082,9,50.08,450.72,15.5
2025-05,ART-0083,31,17.93,555.83,17.87
2025-05,ART-0085,20,50.43,1008.6,29.28
2025-05,ART-0086,15,25.21,378.15,11.22
2025-05,ART-0087,5,27.74,138.7,4.54
2025-05,ART-0088,19,21.31,404.89,13.39
2025-05,ART-0089,6,39.02,234.12,6.68
2025-05,ART-0090,13,23.2,301.6,8.38
2025-05,ART-0091,22,20.47,450.34,12.43
2025-05,ART-0092,31,30.6,948.6,27.53
2025-05,ART-0093,9,13.94,125.46,3.3
2025-05,ART-0094,10,11.23,112.3,4.32
2025-05,ART-0095,15,13.75,206.25,4.88
2025-05,ART-0096,12,14.39,172.68,5.19
2025-05,ART-0097,22,30.72,675.84,24.73
2025-05,ART-0098,4,24.23,96.92,2.62
2025-05,ART-0099,5,24.22,121.1,4.42
2025-05,ART-0101,18,22.07,397.26,12.44
2025-05,ART-0102,14,22.78,318.92,10.81
2025-05,ART-0103,14,13.88,194.32,5.47
2025-05,ART-0105,7,7.27,50.89,1.89
2025-05,ART-0106,26,35.08,912.08,25.1
2025-05,ART-0107,16,32.85,525.6,17.11
2025-05,ART-0108,5,19.43,97.15,3.47
2025-05,ART-0109,7,20.09,140.63,5.73
2025-05,ART-0110,29,11.43,331.47,10.27
2025-05,ART-0111,15,27.24,408.6,10.53
2025-05,ART-0112,4,18.07,72.28,2.19
2025-05,ART-0114,6,25.49,152.94,4.11
2025-05,ART-0115,6,19.12,114.72,3.9
2025-05,ART-0117,23,38.02,874.46,35.66
2025-05,ART-0118,6,15.39,92.34,2.87
2025-05,ART-0121,12,11.72,140.64,4.58
2025-05,ART-0122,12,23.12,277.44,10.22
2025-05,ART-0123,8,17.54,140.32,4.96
2025-05,ART-0124,18,11.34,204.12,5.87
2025-05,ART-0126,10,17.55,175.5,5.71
2025-05,ART-0128,8,9.9,79.2,2.97
2025-05,ART-0129,10,36.75,367.5,10.93
2025-05,ART-0130,10,50.83,508.3,17.7
2025-05,ART-0131,5,34.58,172.9,4.92
2025-05,ART-0132,7,30.84,215.88,7.79
2025-05,ART-0133,6,13.29,79.74,2.41
2025-05,ART-0134,5,17.17,85.85,2.54
2025-05,ART-0135,11,13.0,143.0,3.71
2025-05,ART-0136,15,24.42,366.3,11.93
2025-05,ART-0137,5,21.16,105.8,3.08
2025-05,ART-0138,11,15.82,174.02,4.53
2025-05,ART-0139,21,16.25,341.25,9.81
2025-05,ART-0140,3,19.07,57.21,1.81
2025-05,ART-0142,8,23.2,185.6,5.15
2025-05,ART-0143,11,18.85,207.35,6.14
2025-05,ART-0145,19,23.94,454.86,13.79
2025-05,ART-0146,5,11.73,58.65,1.34
2025-05,ART-0147,6,25.41,152.46,4.25
2025-05,ART-0148,46,27.88,1282.48,44.75
2025-05,ART-0149,7,16.75,117.25,3.8
