invoice date,desc,pcs,unit cost,gross,freight
2025-08,ART-0070,7,42.78,299.46,10.81
2025-08,ART-0071,10,7.29,72.9,2.03
2025-08,ART-0072,18,23.54,423.72,14.2
2025-08,ART-0073,11,19.43,213.73,6.49
2025-08,ART-0075,6,41.24,247.44,9.22
2025-08,ART-0076,8,12.99,103.92,3.63
2025-08,ART-0077,6,14.63,87.78,3.04
2025-08,ART-0078,20,19.15,383.0,9.45
2025-08,ART-0079,6,13.66,81.96,1.81
2025-08,ART-0081,4,14.43,57.72,1.77
2025-08,ART-0082,12,50.18,602.16,24.21
2025-08,ART-0084,14,15.5,217.0,6.61
2025-08,ART-0086,13,24.48,318.24,13.29
2025-08,ART-0087,5,27.66,138.3,3.53
2025-08,ART-0088,24,21.28,510.72,12.38
2025-08,ART-0089,13,38.53,500.89,18.83
2025-08,ART-0090,7,23.09,161.63,4.42
2025-08,ART-0091,15,20.5,307.5,9.37
2025-08,ART-0092,33,31.05,1024.65,31.06
2025-08,ART-0094,10,11.21,112.1,4.07
2025-08,ART-0095,15,13.54,203.1,7.14
2025-08,ART-0096,11,14.78,162.58,5.0
2025-08,ART-0097,20,30.94,618.8,17.81
2025-08,ART-0099,3,24.53,73.59,2.52
2025-08,ART-0100,12,9.65,115.8,4.03
2025-08,ART-0101,21,22.91,481.11,13.61
2025-08,ART-0102,12,22.07,264.84,8.18
2025-08,ART-0104,6,21.94,131.64,3.73
2025-08,ART-0105,11,7.31,80.41,2.62
2025-08,ART-0106,22,35.22,774.84,25.01
2025-08,ART-0108,4,19.23,76.92,2.81
2025-08,ART-0109,7,19.73,138.11,3.88
2025-08,ART-0110,23,11.7,269.1,8.9
2025-08,ART-0111,9,27.41,246.69,5.3
2025-08,ART-0112,4,17.94,71.76,2.74
2025-08,ART-0113,14,17.08,239.12,6.94
2025-08,ART-0114,7,25.32,177.24,4.05
2025-08,ART-0115,9,19.13,172.17,5.55
2025-08,ART-0116,6,12.85,77.1,3.09
2025-08,ART-0118,8,15.97,127.76,3.28
2025-08,ART-0119,6,34.43,206.58,6.53
2025-08,ART-0121,13,11.52,149.76,4.8
2025-08,ART-0122,9,23.23,209.07,6.13
2025-08,ART-0123,6,18.13,108.78,3.25
2025-08,ART-0124,22,11.73,258.06,8.04
2025-08,ART-0126,7,17.65,123.55,3.79
2025-08,ART-0127,12,18.57,222.84,6.49
2025-08,ART-0128,8,9.87,78.96,2.11
2025-08,ART-0129,9,36.04,324.36,8.26
2025-08,ART-0130,10,50.48,504.8,13.77
2025-08,ART-0131,4,34.87,139.48,4.11
2025-08,ART-0132,6,30.74,184.44,5.21
2025-08,ART-0134,11,17.16,188.76,5.75
2025-08,ART-0135,14,12.9,180.6,4.91
2025-08,ART-0136,14,24.56,343.84,11.77
2025-08,ART-0137,8,21.11,168.88,6.16
2025-08,ART-0138,8,15.85,126.8,3.4
2025-08,ART-0139,16,16.33,261.28,8.57
2025-08,ART-0141,5,18.42,92.1,3.41
2025-08,ART-0142,3,23.63,70.89,2.15
2025-08,ART-0143,11,19.14,210.54,6.71
2025-08,ART-0144,7,19.04,133.28,3.19
2025-08,ART-0145,16,24.19,387.04,11.15
2025-08,ART-0146,5,11.69,58.45,1.85
2025-08,ART-0147,10,25.4,254.0,8.02
2025-08,ART-0148,27,27.7,747.9,20.68
2025-08,ART-0149,5,16.49,82.45,2.16
