freight,amount,unit_price,quantity,article_sku,report_period
2.19,72.28,18.07,4,ART-0112,2025-05
4.11,152.94,25.49,6,ART-0114,2025-05
3.9,114.72,19.12,6,ART-0115,2025-05
35.66,874.46,38.02,23,ART-0117,2025-05
2.87,92.34,15.39,6,ART-0118,2025-05
4.58,140.64,11.72,12,ART-0121,2025-05
10.22,277.44,23.12,12,ART-0122,2025-05
4.96,140.32,17.54,8,ART-0123,2025-05
5.87,204.12,11.34,18,ART-0124,2025-05
5.71,175.5,17.55,10,ART-0126,2025-05
2.97,79.2,9.9,8,ART-0128,2025-05
10.93,367.5,36.75,10,ART-0129,2025-05
17.7,508.3,50.83,10,ART-0130,2025-05
4.92,172.9,34.58,5,ART-0131,2025-05
7.79,215.88,30.84,7,ART-0132,2025-05
2.41,79.74,13.29,6,ART-0133,2025-05
2.54,85.85,17.17,5,ART-0134,2025-05
3.71,143.0,13.0,11,ART-0135,2025-05
11.93,366.3,24.42,15,ART-0136,2025-05
3.08,105.8,21.16,5,ART-0137,2025-05
4.53,174.02,15.82,11,ART-0138,2025-05
9.81,341.25,16.25,21,ART-0139,2025-05
1.81,57.21,19.07,3,ART-0140,2025-05
5.15,185.6,23.2,8,ART-0142,2025-05
6.14,207.35,18.85,11,ART-0143,2025-05
13.79,454.86,23.94,19,ART-0145,2025-05
1.34,58.65,11.73,5,ART-0146,2025-05
4.25,152.46,25.41,6,ART-0147,2025-05
44.75,1282.48,27.88,46,ART-0148,2025-05
3.8,117.25,16.75,7,ART-0149,2025-05
